id,group_name,category,tags,title,description,resources
qlora-quantized-fine-tuning,tech,ai-ml,quantization;fine-tuning;peft,QLoRA & 4-bit NormalFloat Quantization,"Enables fine-tuning of 65B+ parameter LLMs on a single 48GB GPU by combining 4-bit NormalFloat quantization, double quantization of scale factors, and paged optimizers to handle memory spikes. Gradients backpropagate through the quantized weights into 16-bit LoRA adapter matrices.","[{""label"": ""QLoRA: Efficient Finetuning of Quantized LLMs (Dettmers et al.)"", ""url"": ""https://arxiv.org/abs/2305.14314""}, {""label"": ""bitsandbytes Library Documentation"", ""url"": ""https://github.com/TimDettmers/bitsandbytes""}, {""label"": ""Hugging Face Blog: Making LLMs even more accessible with bitsandbytes"", ""url"": ""https://huggingface.co/blog/4bit-transformers-bitsandbytes""}]"
direct-preference-optimization-dpo,tech,ai-ml,alignment;rlhf;post-training,Direct Preference Optimization (DPO),Eliminates the explicit reward modeling and reinforcement learning steps in RLHF by showing the language model policy can be analytically optimized directly on pairwise human preference data via a simple binary cross-entropy loss against a reference model.,"[{""label"": ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", ""url"": ""https://arxiv.org/abs/2305.18290""}, {""label"": ""Hugging Face TRL DPO Trainer Docs"", ""url"": ""https://huggingface.co/docs/trl/main/en/dpo_trainer""}, {""label"": ""Stanford CS330: Alignment and Preference Learning"", ""url"": ""https://cs330.stanford.edu/""}]"
rlhf-proximal-policy-optimization,tech,ai-ml,alignment;reinforcement-learning;llms,RLHF with Proximal Policy Optimization,"Aligns language models with human intentions by first training a Bradley-Terry reward model on human comparisons, and then optimizing policy generation via PPO with a KL-divergence penalty to prevent policy collapse away from the base model.","[{""label"": ""Training language models to follow instructions with human feedback (InstructGPT)"", ""url"": ""https://arxiv.org/abs/2203.02155""}, {""label"": ""Deep Reinforcement Learning from Human Preferences (Christiano et al.)"", ""url"": ""https://arxiv.org/abs/1706.03741""}, {""label"": ""Hugging Face: Illustrating Reinforcement Learning from Human Feedback"", ""url"": ""https://huggingface.co/blog/rlhf""}]"
constitutional-ai-and-rlaif,tech,ai-ml,alignment;ai-safety;rlhf,Constitutional AI & RL from AI Feedback (RLAIF),Scales model alignment by using a set of natural language principles ('constitution') and self-critique loops to generate synthetic revision pairs and train reward models without continuous manual human labeling.,"[{""label"": ""Constitutional AI: Harmlessness from AI Feedback (Anthropic)"", ""url"": ""https://arxiv.org/abs/2212.08073""}, {""label"": ""RLAIF: Scaling Reinforcement Learning from Human Feedback with AI Feedback (Google)"", ""url"": ""https://arxiv.org/abs/2309.00267""}, {""label"": ""Anthropic Research: Core Principles of Constitutional AI"", ""url"": ""https://www.anthropic.com/news/claudes-constitution""}]"
kahneman-tversky-optimization-kto,tech,ai-ml,alignment;loss-functions;nlp,Kahneman-Tversky Optimization (KTO),Applies behavioral economics prospect theory to LLM alignment by maximizing the expected human utility of generated outputs using unpaired binary feedback (thumbs up / thumbs down) rather than expensive preference pairs.,"[{""label"": ""KTO: Model Alignment as Prospect Theoretic Optimization (Ethayarajh et al.)"", ""url"": ""https://arxiv.org/abs/2402.01306""}, {""label"": ""Contextual AI: KTO Technical Writeup"", ""url"": ""https://contextual.ai/better-cheaper-faster-llm-alignment-with-kto/""}, {""label"": ""TRL KTO Trainer Docs"", ""url"": ""https://huggingface.co/docs/trl/main/en/kto_trainer""}]"
prompt-tuning-and-prefix-tuning,tech,ai-ml,peft;parameter-efficient;prompting,Prefix-Tuning & Prompt Tuning,"Freezes all pre-trained model weights and prepends continuous, task-specific virtual token embeddings to the input sequence or key-value activation layers. This preserves base model representations while tuning fewer than 0.1% parameters.","[{""label"": ""Prefix-Tuning: Optimizing Continuous Prompts for Generation (Li & Liang)"", ""url"": ""https://arxiv.org/abs/2101.00190""}, {""label"": ""The Power of Scale for Parameter-Efficient Prompt Tuning (Lester et al., Google)"", ""url"": ""https://arxiv.org/abs/2104.08691""}, {""label"": ""Hugging Face PEFT Prompt Tuning Guide"", ""url"": ""https://huggingface.co/docs/peft/package_reference/prompt_tuning""}]"
flashattention-tiling-kernel,tech,ai-ml,gpu-kernels;cuda;transformer-inference,FlashAttention & IO-Aware GPU Tiling,"Restructures the self-attention softmax computation using online softmax normalization and memory tiling between GPU HBM and SRAM. This avoids reading and writing the $N \times N$ intermediate attention matrix, achieving 2-4x wall-clock speedups with exact mathematical equivalence.","[{""label"": ""FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness (Dao et al.)"", ""url"": ""https://arxiv.org/abs/2205.14135""}, {""label"": ""FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning"", ""url"": ""https://arxiv.org/abs/2307.08691""}, {""label"": ""FlashAttention Official GitHub Repository"", ""url"": ""https://github.com/Dao-AILab/flash-attention""}]"
kv-caching-autoregressive-decoding,tech,ai-ml,llm-inference;memory-optimization;deep-learning,KV-Caching in Autoregressive Generation,Stores key and value tensor representations of historical prompt and generation tokens in GPU memory during autoregressive generation. This reduces per-token decoding complexity from $O(N^2)$ matrix multiplications to $O(N)$ projection operations by recomputing only the current step query.,"[{""label"": ""Transformers KV Cache Tutorial (Hugging Face)"", ""url"": ""https://huggingface.co/blog/kv-cache-tutorial""}, {""label"": ""LLM Inference from Scratch (Karan Goel)"", ""url"": ""https://www.youtube.com/watch?v=1yeB_u6L6eY""}, {""label"": ""vLLM: Efficient Memory Management for Large Language Models"", ""url"": ""https://vllm.ai/""}]"
pagedattention-virtual-memory,tech,ai-ml,systems-for-ml;inference-serving;vllm,PagedAttention & vLLM Memory Paging,"Adapts operating system virtual memory paging concepts to LLM KV-cache management, partitioning key-value tensors into non-contiguous blocks of fixed physical tokens. This eliminates memory fragmentation and enables high-concurrency batching and copy-on-write beam searches.","[{""label"": ""Efficient Memory Management for Large Language Model Serving with PagedAttention (Kwon et al.)"", ""url"": ""https://arxiv.org/abs/2309.06180""}, {""label"": ""vLLM Documentation and Architecture Guide"", ""url"": ""https://docs.vllm.ai/""}, {""label"": ""Ray & vLLM High-Throughput Deployment Patterns"", ""url"": ""https://docs.ray.io/en/latest/ray-air/examples/vllm.html""}]"
speculative-decoding-draft-models,tech,ai-ml,llm-inference;speedup;algorithms,Speculative Decoding,"Accelerates memory-bandwidth-bound LLM generation by having a fast, smaller draft model generate $K$ speculative tokens in parallel, which the primary target model verifies and accepts in a single forward pass via speculative sampling rejection algorithms.","[{""label"": ""Fast Inference from Transformers via Speculative Decoding (Leviathan et al., Google)"", ""url"": ""https://arxiv.org/abs/2211.17192""}, {""label"": ""Accelerating Large Language Model Decoding with Speculative Sampling (DeepMind)"", ""url"": ""https://arxiv.org/abs/2302.01318""}, {""label"": ""Hugging Face Speculative Decoding Guide"", ""url"": ""https://huggingface.co/blog/assisted-generation""}]"
awq-activation-aware-quantization,tech,ai-ml,quantization;model-compression;gpu,Activation-Aware Weight Quantization (AWQ),Compresses LLM weights to 4-bit precision without retraining by observing that preserving the top 1% of weights corresponding to salient activation channels avoids perplexity degradation. It applies per-channel scaling transformations before low-bit quantization.,"[{""label"": ""AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration (Lin et al.)"", ""url"": ""https://arxiv.org/abs/2306.00978""}, {""label"": ""AutoAWQ GitHub Implementation"", ""url"": ""https://github.com/casper-hansen/AutoAWQ""}, {""label"": ""MIT HAN Lab Model Compression Suite"", ""url"": ""https://hanlab.mit.edu/projects/awq""}]"
gptq-post-training-quantization,tech,ai-ml,quantization;compression;nlp,GPTQ: Accurate Post-Training Quantization,Performs second-order Hessian error compensation using Optimal Brain Surgeon equations to compress 175B+ parameter language models to 3-bit or 4-bit integer weights in a few GPU hours while retaining near-float16 baseline perplexity.,"[{""label"": ""GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers (Frantar et al.)"", ""url"": ""https://arxiv.org/abs/2210.17323""}, {""label"": ""AutoGPTQ GitHub Repository"", ""url"": ""https://github.com/AutoGPTQ/AutoGPTQ""}, {""label"": ""Hugging Face: Overview of Post-Training Quantization Methods"", ""url"": ""https://huggingface.co/docs/transformers/main_classes/quantization""}]"
continuous-batching-orca,tech,ai-ml,llm-serving;gpu;systems-ml,Iteration-Level Continuous Batching (Orca),Replaces static request-level batching with dynamic iteration-level scheduling where newly arriving requests immediately join current GPU decoding steps and finished requests are evicted immediately without stalling the rest of the batch.,"[{""label"": ""Orca: A Distributed Serving System for Transformer-Based Generative Models (Yu et al., OSDI)"", ""url"": ""https://www.usenix.org/conference/osdi22/presentation/yu""}, {""label"": ""Triton Inference Server Architecture"", ""url"": ""https://github.com/triton-inference-server/server""}, {""label"": ""TensorRT-LLM Architecture Overview"", ""url"": ""https://github.com/NVIDIA/TensorRT-LLM""}]"
beam-search-and-top-p-sampling,tech,ai-ml,decoding;sampling;nlp,"Nucleus (Top-p) Sampling, Temperature & Beam Search",Decoding strategies for autoregressive generation. Nucleus sampling truncates the unreliable tail of the probability distribution by sampling dynamically from the smallest set of tokens whose cumulative probability exceeds threshold p.,"[{""label"": ""The Curious Case of Neural Text Degeneration (Holtzman et al., ICLR)"", ""url"": ""https://arxiv.org/abs/1904.09751""}, {""label"": ""Hugging Face How to Generate Text: Using Different Decoding Methods"", ""url"": ""https://huggingface.co/blog/how-to-generate""}, {""label"": ""Stanford CS224N: Text Generation Strategies"", ""url"": ""https://web.stanford.edu/class/cs224n/""}]"
dense-retrieval-bi-encoders,tech,ai-ml,rag;embeddings;vector-search,Dense Retrieval with Bi-Encoder Architectures,Encodes queries and passage documents into a shared continuous embedding space using twin neural encoders trained with contrastive infoNCE objectives. It enables sub-millisecond semantic search over millions of candidate texts using approximate nearest neighbor indexes.,"[{""label"": ""Dense Passage Retrieval for Open-Domain Question Answering (Karpukhin et al., Meta)"", ""url"": ""https://arxiv.org/abs/2004.04906""}, {""label"": ""Sentence-Transformers Library Documentation"", ""url"": ""https://sbert.net/""}, {""label"": ""MTEB: Massive Text Embedding Benchmark Leaderboard"", ""url"": ""https://huggingface.co/spaces/mteb/leaderboard""}]"
cross-encoder-reranking,tech,ai-ml,rag;search;information-retrieval,Cross-Encoder Reranking in Multi-Stage Retrieval,Feeds candidate document-query pairs jointly through full self-attention layers to capture deep token-level cross-interactions. Used as a high-precision second-stage reranker on top of fast first-stage bi-encoder or BM25 retrieval pipelines.,"[{""label"": ""Sentence-Transformers Cross-Encoders Guide"", ""url"": ""https://www.sbert.net/docs/pretrained_cross-encoders.html""}, {""label"": ""Cohere Rerank: Enhancing RAG Systems"", ""url"": ""https://cohere.com/rerank""}, {""label"": ""Information Retrieval: From Bi-Encoders to Cross-Encoders (Thakur et al.)"", ""url"": ""https://arxiv.org/abs/2104.08663""}]"
hierarchical-navigable-small-world-hnsw,tech,ai-ml,vector-search;algorithms;indexing,Hierarchical Navigable Small World (HNSW) Graphs,A multi-layer graph data structure for Approximate Nearest Neighbor (ANN) search that achieves logarithmic search complexity by executing skip-list-style greedy traversals across hierarchically clustered proximity subgraphs.,"[{""label"": ""Efficient and Robust Approximate Nearest Neighbor Search Using HNSW (Malkov & Yashunin)"", ""url"": ""https://arxiv.org/abs/1603.09320""}, {""label"": ""Pinecone Learning Center: Hierarchical Navigable Small World"", ""url"": ""https://www.pinecone.io/learn/series/faiss/hnsw/""}, {""label"": ""Faiss Library: High-Performance Vector Indexing (Meta)"", ""url"": ""https://github.com/facebookresearch/faiss""}]"
graphrag-knowledge-graph-retrieval,tech,ai-ml,rag;knowledge-graphs;llms,GraphRAG: Knowledge Graph-Augmented Generation,"Extracts entity-relationship graphs and community summaries from raw document corpora via LLMs to synthesize answers across diffuse, corpus-wide thematic questions that fail standard vector-distance semantic search.","[{""label"": ""From Local to Global: A Graph RAG Approach to Query-Focused Summarization (Microsoft)"", ""url"": ""https://arxiv.org/abs/2404.16130""}, {""label"": ""Microsoft GraphRAG Official Repository"", ""url"": ""https://github.com/microsoft/graphrag""}, {""label"": ""Neo4j GenAI Integration Guides"", ""url"": ""https://neo4j.com/developer/genai/""}]"
hypothetical-document-embeddings-hyde,tech,ai-ml,rag;retrieval;prompt-engineering,Hypothetical Document Embeddings (HyDE),"Zero-shot retrieval technique where an instruction-tuned LLM first generates a hypothetical answer document for a given query, which is subsequently embedded and matched against real passage vectors to bridge the query-passage semantic gap.","[{""label"": ""Precise Zero-Shot Dense Retrieval without Relevance Labels (Gao et al.)"", ""url"": ""https://arxiv.org/abs/2212.10496""}, {""label"": ""LangChain HyDE Implementation Cookbook"", ""url"": ""https://python.langchain.com/docs/integrations/retrievers/hyde/""}, {""label"": ""LlamaIndex Advanced Query Transformations"", ""url"": ""https://docs.llamaindex.ai/en/stable/examples/query_transformations/HyDEQueryTransformDemo/""}]"
denoising-diffusion-probabilistic-models-ddpm,tech,ai-ml,generative-ai;diffusion;computer-vision,Denoising Diffusion Probabilistic Models (DDPM),Generates data samples by reversing a parameterized Markov chain that gradually injects Gaussian noise into training images. Neural networks are trained to predict the added score/noise vector at arbitrary timesteps via variational bound optimization.,"[{""label"": ""Denoising Diffusion Probabilistic Models (Ho, Jain, Abbeel, 2020)"", ""url"": ""https://arxiv.org/abs/2006.11239""}, {""label"": ""What are Diffusion Models? (Lilian Weng)"", ""url"": ""https://lilianweng.github.io/posts/2021-07-11-diffusion-models/""}, {""label"": ""Hugging Face Diffusers Library Documentation"", ""url"": ""https://huggingface.co/docs/diffusers/index""}]"
classifier-free-guidance-cfg,tech,ai-ml,diffusion;generative-ai;sampling,Classifier-Free Guidance (CFG),Steers diffusion sampling towards text prompt alignment without requiring a separate classifier network by jointly training conditional and unconditional diffusion models and taking a linear extrapolation between their predicted noise vectors.,"[{""label"": ""Classifier-Free Diffusion Guidance (Ho & Salimans, 2021)"", ""url"": ""https://arxiv.org/abs/2207.12598""}, {""label"": ""Understanding Classifier-Free Guidance (Sander Dieleman)"", ""url"": ""https://benanne.github.io/2022/05/26/guidance.html""}, {""label"": ""Stable Diffusion Sampling and Guidance Docs"", ""url"": ""https://huggingface.co/docs/diffusers/using-diffusers/conditional_image_generation""}]"
latent-diffusion-models-stable-diffusion,tech,ai-ml,diffusion;computer-vision;generative-ai,Latent Diffusion Models (LDMs),"Transfers the iterative diffusion and denoising process from high-dimensional pixel space into the compressed latent space of a pre-trained autoencoder. Cross-attention layers inject text prompts, conditioning image generation with high computational efficiency.","[{""label"": ""High-Resolution Image Synthesis with Latent Diffusion Models (Rombach et al.)"", ""url"": ""https://arxiv.org/abs/2112.10752""}, {""label"": ""CompVis Stable Diffusion GitHub"", ""url"": ""https://github.com/CompVis/stable-diffusion""}, {""label"": ""Stability AI SDXL Paper"", ""url"": ""https://arxiv.org/abs/2307.01952""}]"
variational-autoencoders-vae,tech,ai-ml,generative-ai;probabilistic-ml;deep-learning,Variational Autoencoders & The Reparameterization Trick,"Maps complex inputs to a continuous, well-behaved latent probability distribution by optimizing the Evidence Lower Bound (ELBO) balancing reconstruction loss and KL divergence. The reparameterization trick enables gradient backpropagation through stochastic sampling nodes.","[{""label"": ""Auto-Encoding Variational Bayes (Kingma & Welling, 2013)"", ""url"": ""https://arxiv.org/abs/1312.6114""}, {""label"": ""Tutorial on Variational Autoencoders (Carl Doersch)"", ""url"": ""https://arxiv.org/abs/1606.05908""}, {""label"": ""PyTorch VAE Implementation Guide"", ""url"": ""https://github.com/AntixK/PyTorch-VAE""}]"
vector-quantized-vae-vqvae,tech,ai-ml,generative-ai;codebook;discrete-latent,Vector Quantized VAE (VQ-VAE) & Discrete Codebooks,"Learns discrete latent representations by quantizing continuous encoder vectors to their nearest entry in a learned codebook. Bypasses posterior collapse in standard continuous VAEs and powers high-fidelity image, audio, and video synthesis.","[{""label"": ""Neural Discrete Representation Learning (van den Oord et al., DeepMind)"", ""url"": ""https://arxiv.org/abs/1711.00937""}, {""label"": ""Generating Diverse High-Resolution Images with VQ-VAE-2 (Razavi et al.)"", ""url"": ""https://arxiv.org/abs/1906.00446""}, {""label"": ""PyTorch VQ-VAE Tutorial"", ""url"": ""https://github.com/MishaLaskin/vqvae""}]"
adamw-decoupled-weight-decay,tech,ai-ml,optimization;deep-learning;training,AdamW: Decoupled Weight Decay Optimization,Fixes the standard L2 regularization bug in adaptive gradient methods by subtracting weight decay directly from parameter updates rather than adding it to the moving average gradient vector. This restores correct regularization dynamics for deep networks.,"[{""label"": ""Decoupled Weight Decay Regularization (Loshchilov & Hutter, 2017)"", ""url"": ""https://arxiv.org/abs/1711.05101""}, {""label"": ""PyTorch AdamW Optimizer Documentation"", ""url"": ""https://pytorch.org/docs/stable/generated/torch.optim.AdamW.html""}, {""label"": ""Fast.ai: Why AdamW Matters"", ""url"": ""https://www.fast.ai/posts/2018-07-02-adamw-and-super-convergence.html""}]"
rms-normalization-and-layer-norm,tech,ai-ml,transformers;normalization;deep-learning,Root Mean Square Normalization (RMSNorm),"A computationally streamlined alternative to LayerNorm that scales input activations by their root mean square alone, discarding mean centering. This achieves comparable gradient stability with 10-50% speedups in Transformer normalization layers.","[{""label"": ""Root Mean Square Layer Normalization (Zhang & Sennrich, 2019)"", ""url"": ""https://arxiv.org/abs/1910.07467""}, {""label"": ""Layer Normalization (Ba, Kiros, Hinton, 2016)"", ""url"": ""https://arxiv.org/abs/1607.06450""}, {""label"": ""Flash-Linear-Attention RMSNorm Kernel"", ""url"": ""https://github.com/sustcsonglin/flash-linear-attention""}]"
cosine-annealing-warmup-schedules,tech,ai-ml,training;optimization;hyperparameters,Cosine Annealing with Warmup Schedules,"Linearly ramps learning rates from zero during initial iterations to stabilize early optimizer variance, followed by a cosine decay down to a small fraction of the peak rate. This aids in escaping poor initial local minima and ensures smooth convergence.","[{""label"": ""SGDR: Stochastic Gradient Descent with Warm Restarts (Loshchilov & Hutter)"", ""url"": ""https://arxiv.org/abs/1608.03983""}, {""label"": ""PyTorch CosineAnnealingLR Documentation"", ""url"": ""https://pytorch.org/docs/stable/generated/torch.optim.lr_scheduler.CosineAnnealingLR.html""}, {""label"": ""Scaling Laws for Neural Language Models (Kaplan et al.)"", ""url"": ""https://arxiv.org/abs/2001.08361""}]"
gradient-accumulation-and-mixed-precision,tech,ai-ml,cuda;gpu-optimization;training,FP16/BF16 Mixed Precision & Gradient Accumulation,Accelerates deep learning training and halves GPU memory by running tensor contractions in Bfloat16 or FP16 Tensor Cores while maintaining master FP32 parameter copies and dynamic loss scaling to avoid numerical underflow.,"[{""label"": ""Mixed Precision Training (Micikevicius et al., NVIDIA & Baidu)"", ""url"": ""https://arxiv.org/abs/1710.03740""}, {""label"": ""PyTorch Automatic Mixed Precision (torch.cuda.amp)"", ""url"": ""https://pytorch.org/docs/stable/amp.html""}, {""label"": ""NVIDIA Apex Documentation"", ""url"": ""https://nvidia.github.io/apex/""}]"
proximal-policy-optimization-ppo,tech,ai-ml,reinforcement-learning;policy-gradient;optimization,Proximal Policy Optimization (PPO),"An on-policy actor-critic algorithm that maximizes a clipped surrogate objective function to penalize policy updates that deviate excessively from the previous policy version, delivering reliable convergence without the complexity of Trust Region Policy Optimization.","[{""label"": ""Proximal Policy Optimization Algorithms (Schulman et al., OpenAI)"", ""url"": ""https://arxiv.org/abs/1707.06347""}, {""label"": ""OpenAI Spinning Up: Proximal Policy Optimization"", ""url"": ""https://spinningup.openai.com/en/latest/algorithms/ppo.html""}, {""label"": ""CleanRL: High-Quality Single-File Implementation of PPO"", ""url"": ""https://github.com/vwxyzjn/cleanrl""}]"
monte-carlo-tree-search-alphazero,tech,ai-ml,reinforcement-learning;search;planning,Monte Carlo Tree Search (MCTS) & AlphaZero,"Combines deep policy and value networks with heuristic tree search (selection, expansion, simulation, backpropagation) using Upper Confidence Bounds applied to Trees (UCT) to guide decision-making under uncertainty without human domain knowledge.","[{""label"": ""Mastering the Game of Go without Human Knowledge (Silver et al., Nature)"", ""url"": ""https://www.nature.com/articles/nature24270""}, {""label"": ""A General Reinforcement Learning Algorithm that Masters Chess, Shogi, and Go (Science)"", ""url"": ""https://www.science.org/doi/10.1126/science.aar6404""}, {""label"": ""DeepMind AlphaGo Research Archive"", ""url"": ""https://deepmind.google/technologies/alphago/""}]"
deep-q-networks-dqn-experience-replay,tech,ai-ml,reinforcement-learning;deep-learning;q-learning,Deep Q-Networks (DQN) & Experience Replay,Overcomes training instability in non-linear function approximation for Q-learning by employing experience replay buffers to break sample temporal correlations and frozen target networks to stabilize temporal difference target values.,"[{""label"": ""Human-level Control Through Deep Reinforcement Learning (Mnih et al., Nature)"", ""url"": ""https://www.nature.com/articles/nature14236""}, {""label"": ""Rainbow: Combining Improvements in Deep Reinforcement Learning"", ""url"": ""https://arxiv.org/abs/1710.02298""}, {""label"": ""PyTorch Reinforcement Learning Tutorial (DQN)"", ""url"": ""https://pytorch.org/tutorials/intermediate/reinforcement_q_learning.html""}]"
clip-contrastive-language-image-pretraining,tech,ai-ml,multimodal;contrastive-learning;zero-shot,CLIP: Contrastive Language-Image Pretraining,Pre-trains image and text encoders simultaneously on hundreds of millions of web image-caption pairs using a symmetric cross-entropy loss over matched diagonal pairs. Enables robust zero-shot image classification and powers text-to-image conditioning.,"[{""label"": ""Learning Transferable Visual Models From Natural Language Supervision (Radford et al., OpenAI)"", ""url"": ""https://arxiv.org/abs/2103.00020""}, {""label"": ""OpenCLIP: Open-Source Reproductions of CLIP"", ""url"": ""https://github.com/mlfoundations/open_clip""}, {""label"": ""OpenAI CLIP GitHub Repository"", ""url"": ""https://github.com/openai/CLIP""}]"
